identifier,category,subcategory,notes,hide_in_spends
17-72,Outreach,Events/Conference Attendance & Side Events,,0
17-73,Outreach,Events/Conference Attendance & Side Events,,0
17-74,Outreach,Events/Conference Attendance & Side Events,,0
17-75,Outreach,Events/Conference Attendance & Side Events,,0
17-76,Outreach,Events/Conference Attendance & Side Events,,0
17-83,Outreach,Events/Conference Attendance & Side Events,,0
17-84,Outreach,Events/Conference Attendance & Side Events,,0
17-85,Outreach,Events/Conference Attendance & Side Events,,0
17-86,Outreach,Events/Conference Attendance & Side Events,,0
33-127,Outreach,Events/Conference Attendance & Side Events,,0
17-92,Talent & Education,Trainings & Hackathon,,0
17-101,Outreach,Events/Conference Attendance & Side Events,,0
17-104,Outreach,Events/Conference Attendance & Side Events,,0
17-105,Outreach,Events/Conference Attendance & Side Events,,0
17-106,Outreach,Events/Conference Attendance & Side Events,,0
17-62,Outreach,Events/Conference Hosting,,0
17-95,Outreach,Events/Conference Hosting,,0
17-106,Outreach,Events/Conference Hosting,,0
17-112,Outreach,Events/Conference Hosting,,0
17-113,Outreach,Events/Conference Hosting,,0
17-259,Outreach,Events/Conference Hosting,,0
17-269,Outreach,Events/Conference Hosting,,0
17-316,Outreach,Events/Conference Hosting,,0
17-3591,Outreach,Events/Conference Hosting,,0
17-11,Outreach,Events/Conference Hosting,,0
43-3678,Talent & Education,Trainings & Hackathon,,0
33-840,Outreach,Advertising/Influencers,,0
32-3770,Operations,RPCs and Nodes,evrloot,0
33-2843,Outreach,Advertising/Digital Ads,,0
33-2845,Outreach,Advertising/Digital Ads,,0
17-4102,Talent & Education,Trainings & Hackathon,,0
33-2849,Outreach,PR,,0
33-3052,Outreach,PR,,0
33-3206,Outreach,PR,,0
33-3356,Outreach,PR,,0
33-3362,Outreach,PR,,0
33-3583,Outreach,PR,,0
33-3611,Outreach,PR,,0
33-3687,Outreach,PR,,0
17-8,Talent & Education,Trainings & Hackathon,,0
33-3909,Outreach,PR,,0
43-13,Talent & Education,Trainings & Hackathon,,0
33-4088,Outreach,PR,,0
33-46,Outreach,PR,,0
33-58,Outreach,PR,,0
33-64,Outreach,PR,,0
33-74,Outreach,PR,,0
33-85,Outreach,PR,,0
33-87,Outreach,PR,,0
33-95,Outreach,PR,,0
33-96,Outreach,PR,,0
33-113,Outreach,PR,,0
33-122,Outreach,PR,,0
33-138,Outreach,PR,,0
33-154,Outreach,PR,,0
33-162,Outreach,PR,,0
43-29,Talent & Education,Trainings & Hackathon,,0
43-34,Talent & Education,Trainings & Hackathon,,0
43-35,Talent & Education,Trainings & Hackathon,,0
43-38,Talent & Education,Trainings & Hackathon,,0
43-39,Talent & Education,Trainings & Hackathon,,0
43-42,Talent & Education,Trainings & Hackathon,,0
43-47,Talent & Education,Trainings & Hackathon,,0
33-61,Talent & Education,Trainings & Hackathon,,0
43-71,Talent & Education,PBA,,0
52-37,Talent & Education,Trainings & Hackathon,,0
52-38,Talent & Education,Trainings & Hackathon,,0
52-39,Talent & Education,Trainings & Hackathon,,0
52-40,Talent & Education,Trainings & Hackathon,,0
17-43,Talent & Education,Trainings & Hackathon,,0
17-46,Talent & Education,Trainings & Hackathon,,0
59-0,,Governance,,0
43-3934,,Events/Conference Attendance & Side Events,,0
33-2921,Outreach,Social Media & Community Management,,0
33-3065,Outreach,Social Media & Community Management,,0
17-66,Talent & Education,Trainings & Hackathon,,0
33-3142,Outreach,Social Media & Community Management,,0
33-3143,Outreach,Social Media & Community Management,,0
33-3144,Outreach,Social Media & Community Management,,0
33-3145,Outreach,Social Media & Community Management,,0
33-3146,Outreach,Social Media & Community Management,,0
33-3147,Outreach,Social Media & Community Management,,0
33-3578,Outreach,Social Media & Community Management,,0
33-3579,Outreach,Social Media & Community Management,,0
33-3580,Outreach,Social Media & Community Management,,0
33-3581,Outreach,Social Media & Community Management,,0
33-3582,Outreach,Social Media & Community Management,,0
33-3686,Outreach,Social Media & Community Management,,0
59-1,,Governance,,0
59-3,,SDKs,,0
33-3691,Outreach,Social Media & Community Management,,0
33-3692,Outreach,Social Media & Community Management,,0
33-3693,Outreach,Social Media & Community Management,,0
33-3694,Outreach,Social Media & Community Management,,0
33-3695,Outreach,Social Media & Community Management,,0
33-3809,Outreach,Social Media & Community Management,,0
33-3906,Outreach,Social Media & Community Management,,0
17-88,Talent & Education,Trainings & Hackathon,,0
17-89,Talent & Education,Trainings & Hackathon,,0
33-3954,Outreach,Social Media & Community Management,,0
33-3964,Outreach,Social Media & Community Management,,0
33-3965,Outreach,Social Media & Community Management,,0
33-4086,Outreach,Social Media & Community Management,,0
33-4087,Outreach,Social Media & Community Management,,0
33-4093,Outreach,Social Media & Community Management,,0
33-132,Talent & Education,Trainings & Hackathon,,0
33-10,Outreach,Social Media & Community Management,,0
33-12,Outreach,Social Media & Community Management,,0
33-14,Outreach,Social Media & Community Management,,0
33-15,Outreach,Social Media & Community Management,,0
33-16,Outreach,Social Media & Community Management,,0
33-17,Outreach,Social Media & Community Management,,0
33-24,Outreach,Social Media & Community Management,,0
33-39,Outreach,Social Media & Community Management,,0
33-40,Outreach,Social Media & Community Management,,0
33-41,Outreach,Social Media & Community Management,,0
33-42,Outreach,Social Media & Community Management,,0
33-43,Outreach,Social Media & Community Management,,0
17-94,Talent & Education,Trainings & Hackathon,,0
17-95,Talent & Education,Trainings & Hackathon,,0
17-96,Business Development,Business Development,,0
33-59,Outreach,Social Media & Community Management,,0
43-123,Talent & Education,Trainings & Hackathon,,0
33-143,Talent & Education,Trainings & Hackathon,,0
43-124,Talent & Education,Trainings & Hackathon,,0
33-76,Outreach,Social Media & Community Management,,0
37-51,Operations,Testnet,Treasury refund,1
33-77,Outreach,Social Media & Community Management,,0
43-131,Talent & Education,Trainings & Hackathon,,0
32-390,Operations,RPCs and Nodes,might want to key up further in the future,0
33-78,Outreach,Social Media & Community Management,,0
33-80,Outreach,Social Media & Community Management,,0
33-81,Outreach,Social Media & Community Management,,0
33-94,Outreach,Social Media & Community Management,,0
17-100,Business Development,Business Development,,0
17-98,Talent & Education,Trainings & Hackathon,,0
17-99,Talent & Education,Trainings & Hackathon,,0
43-132,Talent & Education,Trainings & Hackathon,,0
43-133,Talent & Education,Trainings & Hackathon,,0
33-104,Outreach,Social Media & Community Management,,0
33-105,Outreach,Social Media & Community Management,,0
33-106,Outreach,Social Media & Community Management,,0
43-137,Talent & Education,Trainings & Hackathon,,0
52-52,Talent & Education,Trainings & Hackathon,,0
33-107,Outreach,Social Media & Community Management,,0
33-108,Outreach,Social Media & Community Management,,0
33-121,Outreach,Social Media & Community Management,,0
33-126,Outreach,Social Media & Community Management,,0
43-138,Talent & Education,Trainings & Hackathon,,0
33-131,Outreach,Social Media & Community Management,,0
43-140,Talent & Education,Trainings & Hackathon,,0
17-107,Talent & Education,Trainings & Hackathon,,0
17-108,Talent & Education,Trainings & Hackathon,,0
43-141,Talent & Education,Trainings & Hackathon,,0
43-142,Talent & Education,Trainings & Hackathon,,0
43-143,Talent & Education,Trainings & Hackathon,,0
33-165,Talent & Education,Trainings & Hackathon,,0
33-166,Talent & Education,Trainings & Hackathon,,0
33-167,Talent & Education,Trainings & Hackathon,,0
33-149,Outreach,Social Media & Community Management,,0
33-150,Outreach,Social Media & Community Management,,0
33-151,Outreach,Social Media & Community Management,,0
33-152,Outreach,Social Media & Community Management,,0
43-145,Talent & Education,Trainings & Hackathon,,0
33-153,Outreach,Social Media & Community Management,,0
33-169,Talent & Education,Trainings & Hackathon,,0
33-157,Outreach,Social Media & Community Management,,0
33-160,Outreach,Social Media & Community Management,,0
59-8,,SDKs,,0
59-9,,SDKs,,0
43-146,Talent & Education,Trainings & Hackathon,,0
